Region,Site,Lat,Lon,coreNo,soilNo,bp,rcybp,event,subsidence,Uncertainty,source,quality,method
Washington ,Grays Harbour,46.893,123.989,JR-5,6,3480-3895,3440plusMinus80,T8,1.13,0.53,12,1,
Washington ,Grays Harbour,46.893,123.989,JR-6,7,4446-4830,4120plusMinus60,T10,1.93,0.48,12,1,
Washington ,Grays Harbour,46.893,123.988,JR-4,8,4879-5312,4480plusMinus70,T10R1,0.63,0.48,12,1,
Washington ,Grays Harbour,46.893,123.986,Jo-u,1,153-503,310plusMinus60,T1,1.65,0.35,8,3,"m ac; Potentilla, mp be"
Washington ,Grays Harbour,,,,2,,,?,0.1,0.50,8,3,m ac; m be
Washington ,Grays Harbour,,,,3,1302-1518,1495plusMinus50,T4,1.65,0.40,8,3,"rm ac; Spruce, p be"
Washington ,Grays Harbour,,,,4,,,?,0.1,0.50,8,3,m ac; m be
Washington ,Grays Harbour,,,,5,3007-3452,3070plusMinus80,T7,1.45,0.35,8,2,"Triglochin, rm ac; Potentilla, Deschampsia, p be"
Washington ,Willapa Bay,46.672,123.734,Wi-S,1,0-280,131plusMinus39,T1,1.2,0.50,8,2,"Carex, rm ac; Spruce, pm be"
Washington ,Willapa Bay,,,,2,,,?,0.1,0.50,8,3,"Carex, m/rm ac; m be"
Washington ,Willapa Bay,,,,3,1540-1713,1720plusMinus39,T5,1.2,0.50,8,2,"Carex, rm ac; Spruce, pm be"
Washington ,Willapa Bay,,,,4,2355-2719,2460plusMinus70,T6,1.7,1.30,8,3,m ac; pm be
Washington ,Willapa Bay,,,,5,2786-3069,2811plusMinus53,T7,1.2,0.50,8,2,"Carex, rm ac; Spruce, pm be"
Washington ,Willapa Bay,,,,6,3269-3554,3181plusMinus46,T8,1.2,0.50,8,2,"Carex, rm ac; Spruce, pm be"
Washington ,Willapa Bay,,,,7,3924-4409,3760plusMinus80,T9,0.8,0.70,8,3,"Carex (?), m ac; pm be"
Washington ,Willapa Bay,,,,8,4575-5261,4290plusMinus80,T10,0.8,0.70,8,3,"Carex (?), m ac; pm be"
Washington ,Willapa Bay,46.631,123.921,Oyster,1,3-283,161plusMinus15,T1,0.95 min,0.35,"13,14",1,Foraminifera: transfer function analysis
Washington ,Willapa Bay,,,,2,,,?,0.9 min,0.40,13,1,""""
Washington ,Willapa Bay,,,,3,1174-1264,1260plusMinus14,T4,1.1 min,0.50,13,1,""""
