  longitude       latitude       slip_rate       depth       slip_rate_error
  -124.980003       45.8576660       26.7673073       8.16800022       4.94110346    
  -125.101662       45.8919983       28.5856705       6.47100019       5.57513809    
  -125.577667       47.6623344       30.2711048       6.39333344       6.44494057    
  -125.777344       47.7673340       26.4888878       5.24600029       6.85310125    
  -125.750336       47.6656685       29.2378445       4.84433317       7.10286188    
  -125.114342       46.3386650       34.0603065       7.08266640       5.43553829    
  -128.020004       49.9266663       7.88625860       4.99599981       6.38977718    
  -127.840332       49.9453316       8.30932713       8.32933331       5.66327190    
  -126.062996       48.2446709       11.5769053       7.69299936       5.78153324    
  -125.920998       48.1933327       13.0240173       8.75733280       5.44224834    
  -126.179344       48.1956673       11.9303799       5.45800018       6.39051294    
  -125.812004       47.4596672       34.2683144       3.19233322       8.19048119    
  -124.739998       42.1273308       16.2828331       9.05399990       2.69627619    
  -128.093338       49.8100014       7.52571106       1.66266668       6.41990089    
  -124.970665       46.3580017       32.2388840       8.62533283       4.77016783    
  -124.974335       46.1776695       30.4944191       8.38666630       4.88700390    
  -124.895996       46.2703362       30.3241272       9.35233307       4.51502514    
  -126.601341       48.5833321       5.72382736       5.68466711       5.20398378    
  -126.260338       48.5023346       7.78090286       8.96700001       4.95554161    
  -126.239662       48.4103355       8.65669727       7.90266657       5.38336563    
  -124.840332       42.7296638       18.7795544       8.09533310       2.14489889    
  -125.183998       45.7473335       27.8119183       5.12500000       6.02027845    
  -127.131340       48.7443352       3.77268219       1.04133332       6.04374266    
  -126.532326       48.6703339       5.70679140       7.77933359       4.76956797    
  -127.953003       49.7683372       7.21699047       3.29933333       6.02802992    
  -127.823334       49.8373375       7.69411802       6.63266611       5.54088640    
  -126.145996       47.6419983       27.1523170       1.06700003       8.04396439    
  -126.413330       48.6466675       6.21024704       8.99633312       4.67099285    
  -126.396332       48.5566711       6.64622974       7.96333361       4.97857189    
  -126.710327       48.9156685       5.09435415       8.81599998       4.53528070    
  -126.842674       48.9579964       4.63635683       7.61533356       4.82504320    
  -126.106995       47.7469978       24.3087692       2.06633329       7.87188244    
  -125.924339       47.8003349       23.5788021       4.10933352       7.11627245    
  -125.241333       47.0343323       39.9372482       6.99366617       5.89327955    
  -125.339333       46.9370003       41.3296890       5.92799997       6.55241632    
  -124.786339       42.6563301       17.8495827       8.91566658       1.98567498    
  -125.462334       45.5303345       27.4907322      0.949333370       6.80280590    
  -125.610329       47.8329964       25.3832512       7.51233292       5.95707035    
  -125.604675       47.9236641       22.6507225       8.70966625       5.59084129    
  -124.920006       46.6140022       33.8925095       9.34966660       4.30925608    
  -125.027000       46.6656685       35.9224434       8.41433334       4.70017195    
  -126.942329       48.8859978       4.09148216       5.32333326       5.42148018    
  -126.263664       47.8046684       20.9091320      0.999333322       7.74656916    
  -125.897003       47.8983345       20.9408798       5.13766670       6.73744297    
  -126.225670       47.9056702       18.5875893       2.01533341       7.63528967    
  -126.041664       47.9460030       18.1249065       4.11066675       6.94028664    
  -124.849670       42.5513344       17.8603668       7.88800001       2.28587484    
  -126.999329       48.6970024       4.07787132       2.10599995       6.02708101    
  -126.898338       48.7616692       4.17287350       4.25533342       5.69700861    
  -125.029335       45.7129974       25.9213753       7.43333292       5.28445530    
  -124.769325       42.4793358       16.5999680       8.97233295       2.26557398    
  -124.755669       42.3046646       16.2376595       9.00366688       2.58093262    
  -126.967003       48.5859985       4.50417423       1.06466663       6.06149483    
  -126.762329       48.7099953       4.67846298       5.33033323       5.34789371    
  -127.271339       48.9819984       3.50206351       2.20033336       5.82343006    
  -127.067665       48.9210014       3.74215984       4.13366652       5.69402456    
  -127.135338       49.0083313       3.71773291       4.33299971       5.50353193    
  -127.273010       48.8826714       3.51974583      0.959666669       5.96083879    
  -127.155670       48.8440056       3.61952066       2.00100017       6.00290108    
  -125.180000       45.5566673       26.3601170       4.95733309       6.09680653    
  -125.147331       43.0213318       20.7250538       3.99799991       3.72127128    
  -125.017662       42.9766655       20.4123974       5.62166643       3.26911759    
  -125.057671       42.7019997       20.3062191       5.05433321       2.99397063    
  -126.814003       48.5343323       5.22822857       2.30333328       5.96565533    
  -126.792336       48.4340019       6.01925421       1.23866665       6.12048531    
  -126.710327       48.5936699       5.17223692       4.41966677       5.50540257    
  -124.778328       42.8370018       18.3995018       9.17966652       2.04043245    
  -126.553001       48.7626648       5.48970175       8.78299999       4.50824594    
  -126.673988       48.7919960       4.98682976       7.59899950       4.78743029    
  -125.339996       45.2936668       25.4969597       2.10166669       6.53507757    
  -125.235008       45.4576683       26.1046638       4.02166700       6.34643459    
  -125.210327       45.3546638       25.3249149       4.25866699       6.15748739    
  -125.428322       43.5123329       19.9702473      0.690999985       5.51399040    
  -124.834007       42.3793335       16.8956623       7.97599983       2.56173444    
  -125.259666       42.8743324       20.8974190      0.686000049       3.58292508    
  -125.110664       41.3093376       19.0077076       1.21500003       5.48714018    
